Year Month,OnlineSalesPercentage,Type
2013-01-01,32.52804360315092,Historical Data
2013-02-01,32.427929400327265,Historical Data
2013-03-01,34.96191741660357,Historical Data
2013-04-01,32.082815787400776,Historical Data
2013-05-01,33.65488922900674,Historical Data
2013-06-01,35.61108283065854,Historical Data
2013-07-01,35.17261710217744,Historical Data
2013-08-01,34.8844333501813,Historical Data
2013-09-01,32.29694970248044,Historical Data
2013-10-01,33.36314187338813,Historical Data
2013-11-01,34.27814887398429,Historical Data
2013-12-01,36.83116729004888,Historical Data
2014-01-01,34.95172892415487,Historical Data
2014-02-01,34.1022450416548,Historical Data
2014-03-01,36.47410899955174,Historical Data
2014-04-01,32.55675884977086,Historical Data
2014-05-01,35.98443633238333,Historical Data
2014-06-01,38.98351169211453,Historical Data
2014-07-01,35.86551329402279,Historical Data
2014-08-01,37.36852069163065,Historical Data
2014-09-01,38.08591021487988,Historical Data
2014-10-01,40.25932651437888,Historical Data
2014-11-01,38.483534587374905,Historical Data
2014-12-01,33.75931766874528,Historical Data
2015-01-01,39.917277304138686,Historical Data
2015-02-01,36.03730820414531,Historical Data
2015-03-01,38.76787089968293,Historical Data
2015-04-01,39.759741271142246,Historical Data
2015-05-01,39.120900446530285,Historical Data
2015-06-01,37.75168920326918,Historical Data
2015-07-01,39.2639943871867,Historical Data
2015-08-01,36.11584432343473,Historical Data
2015-09-01,39.82885673707166,Historical Data
2015-10-01,40.64201893966767,Historical Data
2015-11-01,38.62724375911468,Historical Data
2015-12-01,37.75485195435566,Historical Data
2016-01-01,38.51022251501466,Historical Data
2016-02-01,39.56463408831807,Historical Data
2016-03-01,38.01106305466558,Predicted Data
2016-04-01,37.833494927004125,Predicted Data
2016-05-01,37.660553485017815,Predicted Data
