OnlineSalesPercentage,Month Number,Year,Year Month
40.64201893966767,10,2015,2015-10-01 00:00:00
40.259326514378884,10,2014,2014-10-01 00:00:00
39.917277304138686,1,2015,2015-01-01 00:00:00
39.82885673707166,9,2015,2015-09-01 00:00:00
39.759741271142246,4,2015,2015-04-01 00:00:00
39.564634088318066,2,2016,2016-02-01 00:00:00
39.2639943871867,7,2015,2015-07-01 00:00:00
39.120900446530285,5,2015,2015-05-01 00:00:00
38.98351169211453,6,2014,2014-06-01 00:00:00
38.76787089968293,3,2015,2015-03-01 00:00:00
38.62724375911468,11,2015,2015-11-01 00:00:00
38.51022251501466,1,2016,2016-01-01 00:00:00
38.483534587374905,11,2014,2014-11-01 00:00:00
38.08591021487988,9,2014,2014-09-01 00:00:00
37.75485195435566,12,2015,2015-12-01 00:00:00
37.75168920326918,6,2015,2015-06-01 00:00:00
37.36852069163065,8,2014,2014-08-01 00:00:00
36.831167290048874,12,2013,2013-12-01 00:00:00
36.47410899955174,3,2014,2014-03-01 00:00:00
36.11584432343473,8,2015,2015-08-01 00:00:00
36.03730820414531,2,2015,2015-02-01 00:00:00
35.98443633238333,5,2014,2014-05-01 00:00:00
35.86551329402279,7,2014,2014-07-01 00:00:00
35.61108283065854,6,2013,2013-06-01 00:00:00
35.17261710217744,7,2013,2013-07-01 00:00:00
34.96191741660357,3,2013,2013-03-01 00:00:00
34.95172892415487,1,2014,2014-01-01 00:00:00
34.8844333501813,8,2013,2013-08-01 00:00:00
34.27814887398429,11,2013,2013-11-01 00:00:00
34.1022450416548,2,2014,2014-02-01 00:00:00
33.75931766874528,12,2014,2014-12-01 00:00:00
33.65488922900674,5,2013,2013-05-01 00:00:00
33.36314187338813,10,2013,2013-10-01 00:00:00
32.55675884977086,4,2014,2014-04-01 00:00:00
32.52804360315092,1,2013,2013-01-01 00:00:00
32.427929400327265,2,2013,2013-02-01 00:00:00
32.29694970248044,9,2013,2013-09-01 00:00:00
32.082815787400776,4,2013,2013-04-01 00:00:00
